province,commodity,year,min_price,max_price,avg_price,median_price,count
BALI,Bulk Wheat Flour,2023,11080.0,12330.0,11740.794520547945,11750.0,365
BALI,Bulk Wheat Flour,2024,10000.0,12270.0,10960.65934065934,10980.0,273
BALI,Chicken Eggs,2022,20410.0,32000.0,24098.242424242424,24035.0,330
BALI,Chicken Eggs,2023,25320.0,31200.0,27364.630136986303,27260.0,365
BALI,Chicken Eggs,2024,25170.0,29970.0,27486.520146520146,27390.0,273
BALI,Consumption Sugar,2022,12670.0,14330.0,13676.969696969696,13600.0,330
BALI,Consumption Sugar,2023,13440.0,16610.0,14368.657534246575,14000.0,365
BALI,Consumption Sugar,2024,16360.0,18030.0,17376.593406593405,17420.0,273
BALI,Curly Red Chili,2022,21210.0,72250.0,38833.96341463415,37950.0,328
BALI,Curly Red Chili,2023,26820.0,62900.0,36875.46703296703,33095.0,364
BALI,Curly Red Chili,2024,17910.0,80130.0,45311.61172161172,41440.0,273
BALI,Garlic,2022,18580.0,26540.0,21457.030303030304,20950.0,330
BALI,Garlic,2023,21090.0,45340.0,30870.08219178082,31300.0,365
BALI,Garlic,2024,32890.0,39970.0,35857.8021978022,35610.0,273
BALI,Medium Rice,2022,10000.0,11930.0,10715.727272727272,10550.0,330
BALI,Medium Rice,2023,11550.0,13830.0,12527.260273972603,12160.0,365
BALI,Medium Rice,2024,13100.0,15430.0,13993.443223443224,13940.0,273
BALI,Premium Rice,2022,11000.0,12880.0,11795.636363636364,11710.0,330
BALI,Premium Rice,2023,12770.0,15050.0,13758.684931506848,13330.0,365
BALI,Premium Rice,2024,14870.0,16990.0,15559.304029304029,15530.0,273
BALI,Pure Beef,2022,108970.0,120000.0,113222.60606060606,113080.0,330
BALI,Pure Beef,2023,110000.0,120560.0,115970.30136986301,116310.0,365
BALI,Pure Beef,2024,112930.0,120080.0,115363.62637362638,115420.0,273
BALI,Red Cayenne Pepper,2022,23270.0,88690.0,42997.72727272727,41095.0,330
BALI,Red Cayenne Pepper,2023,22370.0,84940.0,47311.31506849315,41000.0,365
BALI,Red Cayenne Pepper,2024,24480.0,79390.0,44273.333333333336,37790.0,273
BALI,Shallots,2022,19080.0,53400.0,28443.575757575756,28550.0,330
BALI,Shallots,2023,14810.0,36150.0,25968.68493150685,27590.0,365
BALI,Shallots,2024,20660.0,48560.0,30896.63003663004,28940.0,273
BALI,Simple Packaged Cooking Oil,2022,14650.0,24890.0,19527.969696969696,18360.0,330
BALI,Simple Packaged Cooking Oil,2023,17070.0,19000.0,17727.64383561644,17750.0,365
BALI,Simple Packaged Cooking Oil,2024,16520.0,18420.0,17606.080586080585,17640.0,273
BANTEN,Broiler Chicken Meat,2022,33750.0,43000.0,36421.11782477341,36260.0,331
BANTEN,Broiler Chicken Meat,2023,33740.0,42210.0,36879.3698630137,36730.0,365
BANTEN,Broiler Chicken Meat,2024,33730.0,42250.0,37313.69003690037,37250.0,271
BANTEN,Bulk Cooking Oil,2022,11860.0,19070.0,13751.855203619909,13090.0,221
BANTEN,Bulk Cooking Oil,2023,13080.0,14970.0,13814.328767123288,13790.0,365
BANTEN,Bulk Cooking Oil,2024,13630.0,16000.0,14929.114391143912,14940.0,271
BANTEN,Bulk Wheat Flour,2022,8710.0,11240.0,10006.858006042296,10350.0,331
BANTEN,Bulk Wheat Flour,2023,9720.0,10810.0,10211.150684931506,10220.0,365
BANTEN,Bulk Wheat Flour,2024,9760.0,10800.0,10199.040590405904,10200.0,271
BANTEN,Chicken Eggs,2022,19560.0,31130.0,26080.030211480364,26370.0,331
BANTEN,Chicken Eggs,2023,24870.0,31840.0,28134.630136986303,27490.0,365
BANTEN,Chicken Eggs,2024,25740.0,40000.0,28074.42804428044,27920.0,271
BANTEN,Consumption Sugar,2022,12900.0,14180.0,13766.404833836858,13810.0,331
BANTEN,Consumption Sugar,2023,13740.0,17080.0,14618.931506849314,14230.0,365
BANTEN,Consumption Sugar,2024,16239.999999999998,18660.0,17481.808118081182,17550.0,271
BANTEN,Curly Red Chili,2022,24100.0,111340.0,48325.01510574018,42770.0,331
BANTEN,Curly Red Chili,2023,29100.0,88720.0,43930.71232876712,39920.0,365
BANTEN,Curly Red Chili,2024,26760.0,81610.0,49711.25461254612,45340.0,271
BANTEN,Garlic,2022,20650.0,33100.0,25818.036253776434,25550.0,331
BANTEN,Garlic,2023,24170.0,39980.0,33139.04109589041,34140.0,365
BANTEN,Garlic,2024,34900.0,45000.0,38796.67896678967,38950.0,271
BANTEN,Medium Rice,2022,9390.0,11250.0,10050.755287009064,10030.0,331
BANTEN,Medium Rice,2023,10510.0,13240.0,11599.589041095891,11240.0,365
BANTEN,Medium Rice,2024,11500.0,15080.0,13133.616236162361,12840.0,271
BANTEN,Premium Rice,2022,11050.0,12250.0,11328.398791540785,11280.0,331
BANTEN,Premium Rice,2023,11660.0,14460.0,13017.342465753425,12770.0,365
BANTEN,Premium Rice,2024,13000.0,16740.0,15104.095940959409,14940.0,271
BANTEN,Pure Beef,2022,123550.0,167440.0,135654.53172205438,136810.0,331
BANTEN,Pure Beef,2023,133140.0,156100.0,137706.90410958903,137340.0,365
BANTEN,Pure Beef,2024,130000.0,150290.0,134984.24354243543,134490.0,271
BANTEN,Red Cayenne Pepper,2022,31450.0,113710.0,53626.34441087613,51950.0,331
BANTEN,Red Cayenne Pepper,2023,31240.0,96590.0,54476.849315068495,44670.0,365
BANTEN,Red Cayenne Pepper,2024,33180.0,86310.0,51828.37638376384,48360.0,271
BANTEN,Shallots,2022,24660.0,68970.0,34528.51963746224,32930.0,331
BANTEN,Shallots,2023,21460.0,46620.0,33112.87671232877,33940.0,365
BANTEN,Shallots,2024,23890.0,62210.0,34588.782287822876,30510.0,271
BANTEN,Simple Packaged Cooking Oil,2022,14700.0,23790.0,18066.91842900302,16550.0,331
BANTEN,Simple Packaged Cooking Oil,2023,14430.0,17590.0,15333.287671232876,15240.0,365
BANTEN,Simple Packaged Cooking Oil,2024,14810.0,18000.0,16421.40221402214,16700.0,271
BENGKULU,Broiler Chicken Meat,2022,29030.0,47750.0,36012.11480362538,34690.0,331
BENGKULU,Broiler Chicken Meat,2023,27720.0,41700.0,33823.104395604394,32370.0,364
BENGKULU,Broiler Chicken Meat,2024,29090.0,44780.0,35985.73529411765,35355.0,272
BENGKULU,Bulk Cooking Oil,2022,13800.0,23000.0,15597.285067873303,14120.0,221
BENGKULU,Bulk Cooking Oil,2023,13800.0,16340.0,14825.934065934065,14740.0,364
BENGKULU,Bulk Cooking Oil,2024,14110.0,16460.0,15606.236162361623,15700.0,271
BENGKULU,Bulk Wheat Flour,2022,8119.999999999999,11410.0,9996.132930513595,10070.0,331
BENGKULU,Bulk Wheat Flour,2023,11030.0,11920.0,11385.192307692309,11430.0,364
BENGKULU,Bulk Wheat Flour,2024,10570.0,12000.0,10885.441176470587,10875.0,272
BENGKULU,Chicken Eggs,2022,19520.0,28140.0,24378.5498489426,24950.0,331
BENGKULU,Chicken Eggs,2023,24310.0,27970.0,26637.994505494506,26925.0,364
BENGKULU,Chicken Eggs,2024,25370.0,28100.0,26745.808823529413,26885.0,272
BENGKULU,Consumption Sugar,2022,13090.0,14660.0,14123.32326283988,14130.0,331
BENGKULU,Consumption Sugar,2023,13920.0,17240.0,14825.274725274725,14540.0,364
